ID,索引,表名,最后更新,列族代码,生成的编号,说明
1,JH_PAT_INFO,JHPDL:JH_PAT_INFO,2024-10-11,PAT,P00.000.001,患者基本信息表
2,JH_IN_HOSP,JHPDL:JH_IN_HOSP,2024-08-29,IHR,H00.000.001,患者住院就诊记录表
3,JH_IN_ADT,JHPDL:JH_IN_ADT,2024-01-17,IAR,ZA0.000.000.001,患者入出转记录表
4,JH_IN_ORDERS,JHPDL:JH_IN_ORDERS,2024-06-21,IOR,ZD0.000.000.001,住院医嘱表
5,JH_LAB_APPLY,JHPDL:JH_LAB_APPLY,2024-06-18,LAP,LA0.000.000.001,患者检验申请单
6,JH_PAT_VISIT,JHPDL:JH_PAT_VISIT,2024-12-31,PAV,V00.000.001,通用就诊记录（不分门诊、住院、急诊、转诊等）
7,JH_CU_HOSP,JHPDL:JH_CU_HOSP,2024-11-06,CHR,C00.000.001,体检记录
8,JH_EGY_HOSP,JHPDL:JH_EGY_HOSP,2024-01-17,EHR,E00.000.001,急诊记录
9,JH_SL_HOSP,JHPDL:JH_SL_HOSP,2024-01-17,SHR,S00.000.001,专科就诊记录（如口腔、妇产科等）
10,JH_LAB_APY_DTL,JHPDL:JH_LAB_APY_DTL,2024-12-05,LAD,LD0.000.000.001,检验申请单明细
11,JH_LAB_TRACE,JHPDL:JH_LAB_TRACE,2024-01-17,LTR,LT0.000.000.001,检验标本跟踪
12,JH_LAB_RESULT,JHPDL:JH_LAB_RESULT,2024-12-31,LRS,LR0.000.000.001,检验结果
13,JH_LAB_RES_DTL,JHPDL:JH_LAB_RES_DTL,2024-11-13,LRD,LL0.000.000.001,检验结果明细
14,JH_LAB_RES_VIS,JHPDL:JH_LAB_RES_VIS,2024-07-02,LRV,LV0.000.000.001,微生物结果明细
15,JH_LAB_RES_CTL,JHPDL:JH_LAB_RES_CTL,2024-01-17,LRC,LC0.000.000.001,（作废删除了）
16,JH_EXAM_APPLY,JHPDL:JH_EXAM_APPLY,2024-01-17,EAP,EA0.000.000.001,检查申请
17,JH_EXAM_APY_DTL,JHPDL:JH_EXAM_APY_DTL,2024-01-17,EAD,ED0.000.000.001,检查申请明细
18,JH_EXAM_APY_SCH,JHPDL:JH_EXAM_APY_SCH,2024-01-17,EAS,ES0.000.000.001,检查预约排期
19,JH_EXAM_REPORT,JHPDL:JH_EXAM_REPORT,2024-12-31,ERT,ER0.000.000.001,检查报告
20,JH_EXAM_REP_IMG,JHPDL:JH_EXAM_REP_IMG,2024-01-17,ERI,EP0.000.000.001,检查影像索引
21,JH_OP_APPLY,JHPDL:JH_OP_APPLY,2024-01-17,OAP,PA0.000.000.001,手术申请
22,JH_OP_SCH,JHPDL:JH_OP_SCH,2024-04-01,OAS,PS0.000.000.001,手术预约排期
23,JH_BLD_APPLY,JHPDL:JH_BLD_APPLY,2024-07-08,BAP,BA0.000.000.001,输血申请
24,JH_PHLY_APPLY,JHPDL:JH_PHLY_APPLY,2023-04-06,HAP,HA0.000.000.001,病理申请
25,JH_IN_DIAG,JHPDL:JH_IN_DIAG,2024-01-17,IDR,ZG0.000.000.001,住院临床诊断记录
26,JH_IN_OPER,JHPDL:JH_IN_OPER,2024-01-17,IPR,ZP0.000.000.001,住院临床手术记录
27,JH_FIRST_PAGE,JHPDL:JH_FIRST_PAGE,2024-01-23,IFP,FR0.000.000.001,住院病案首页（编目后）
28,JH_FP_DIAG,JHPDL:JH_FP_DIAG,2024-01-23,IFD,FD0.000.000.001,首页编目诊断记录（编目后）
29,JH_FP_OPER,JHPDL:JH_FP_OPER,2024-01-23,IFR,FP0.000.000.001,首页编目手术记录（编目后）
30,JH_FP_SUB,JHPDL:JH_FP_SUB,2024-05-30,IFS,FS0.000.000.001,病案首页附页（编目后）
31,JH_IN_MR,JHPDL:JH_IN_MR,2024-01-17,IMR,ZM0.000.000.001,住院电子病历记录（病历索引和大文本编码）
32,JH_IN_MRFILE,JHPDL:JH_IN_MRFILE,2024-01-17,IMF,ZF0.000.000.001,住院病历章节内容（文书分段章节内容）
33,JH_VITAL_SIGNS,JHPDL:JH_VITAL_SIGNS,2024-01-17,IVS,ZV0.000.000.001,生命体征记录
34,JH_FOLLOW_UP,JHPDL:JH_FOLLOW_UP,2024-01-17,PAF,PF0.000.000.001,随访记录
35,JH_FEE_BILL,JHPDL:JH_FEE_BILL,2024-01-17,PFB,PB0.000.000.001,费用账单
36,JH_FEE_BL_DTL,JHPDL:JH_FEE_BL_DTL,2024-01-17,PFD,PD0.000.000.001,费用账单明细
37,JH_FEE_PAY,JHPDL:JH_FEE_PAY,2024-01-17,PFP,PP0.000.000.001,费用结算记录
38,JH_FEE_PAY_DTL,JHPDL:JH_FEE_PAY_DTL,2024-01-17,PFL,PL0.000.000.001,费用结算明细
39,JH_OUT_HOSP,JHPDL:JH_OUT_HOSP,2024-08-16,OHR,M00.000.001,门诊就诊记录
40,JH_OUT_MR,JHPDL:JH_OUT_MR,2024-01-17,OMR,MM0.000.000.001,门诊电子病历记录（索引和大字段）
41,JH_OUT_ORDERS,JHPDL:JH_OUT_ORDERS,2024-10-09,OOR,MD0.000.000.001,门诊处方/医嘱
42,JH_OUT_ORD_DTL,JHPDL:JH_OUT_ORD_DTL,2024-06-21,OOD,ML0.000.000.001,门诊处方明细
43,JH_OUT_SHUNT,JHPDL:JH_OUT_SHUNT,2024-01-17,OSR,MS0.000.000.001,门诊分诊
44,JH_OUT_RVN,JHPDL:JH_OUT_RVN,2024-01-17,ORR,MR0.000.000.001,门诊预约记录
45,JH_CRISIS,JHPDL:JH_CRISIS,2024-08-28,CRR,CR0.000.000.001,危急值记录
46,JH_CRIS_DTL,JHPDL:JH_CRIS_DTL,2024-03-19,CRD,CD0.000.000.001,危急值处理明细
47,JH_FILE_CONTENT,JHPDL:JH_FILE_CONTENT,2024-03-05,FBC,FC0.000.000.001,流式数据或文件内容记录表
48,JH_MED_ORG,JHPDL:JH_MED_ORG,2024-12-31,ORG,MG0.001,医疗机构记录表（用于多院区、集团医疗、区域医疗等）
49,JH_OUT_MRFILE,JHPDL:JH_OUT_MRFILE,2024-01-17,OMF,MF0.000.000.001,门诊病历章节内容（病历分段章节内容）
50,JH_IN_ORD_EXEC,JHPDL:JH_IN_ORD_EXEC,2024-12-31,IER,ZE0.000.000.001,住院医嘱执行表
51,JH_LAB_RF_INX,JHPDL:JH_LAB_RF_INX,2024-01-17,LRF,LF0.000.000.001,检验结果版式索引
52,JH_EXAM_RF_INX,JHPDL:JH_EXAM_RF_INX,2024-01-17,ERF,EF0.000.000.001,检查报告版式索引
53,JH_PRE_FP,JHPDL:JH_PRE_FP,2024-03-08,IFF,FF0.000.000.001,住院病案首页（编目前-可选）
54,JH_PRE_FP_DI,JHPDL:JH_PRE_FP_DI,2024-12-17,IFZ,FZ0.000.000.001,首页诊断记录（编目前-可选，注意区分临床诊断）
55,JH_PRE_FP_OP,JHPDL:JH_PRE_FP_OP,2024-12-17,IFH,FH0.000.000.001,首页手术记录（编目前-可选，注意区分临床手术）
56,JH_PRE_FP_SUB,JHPDL:JH_PRE_FP_SUB,2024-12-31,IFA,FA0.000.000.001,病案首页附页（编目前-可选）
57,JH_OP_RECORD,JHPDL:JH_OP_RECORD,2024-08-28,OAR,PR0.000.000.001,手术麻醉信息表（实际手术信息记录）
58,JH_OP_EVENT,JHPDL:JH_OP_EVENT,2024-01-17,OAE,PE0.000.000.001,手术事件表
59,JH_LAB_VIS_DTL,JHPDL:JH_LAB_VIS_DTL,2024-01-17,LRM,LM0.000.000.001,药敏与培养结果明细
60,JH_BLD_RECORD,JHPDL:JH_BLD_RECORD,2024-01-17,BMR,BR0.000.000.001,输血记录
61,JH_BLD_TRACE,JHPDL:JH_BLD_TRACE,2024-01-17,BTR,BT0.000.000.001,输血跟踪
62,JH_ALLERGY,JHPDL:JH_ALLERGY,2024-01-17,AMR,AR0.000.000.001,过敏记录
63,JH_OUT_DIAG,JHPDL:JH_OUT_DIAG,2024-01-17,ODR,MG0.000.000.001,门诊临床诊断记录
64,JH_NIS_MR,JHPDL:JH_NIS_MR,2024-01-17,INR,NR0.000.000.001,护理记录（含护理评估）
65,JH_NIS_MR_DTL,JHPDL:JH_NIS_MR_DTL,2024-01-17,IND,ND0.000.000.001,护理记录明细（评估明细）
66,JH_CONS_APPLY,JHPDL:JH_CONS_APPLY,2024-01-17,CAP,CP0.000.000.001,会诊申请
67,JH_CONS_RECORD,JHPDL:JH_CONS_RECORD,2024-01-17,CSR,CM0.000.000.001,会诊记录
68,JH_STAFF_INFO,JHPDL:JH_STAFF_INFO,2022-09-26,EMP,E00.000.001,人员基本信息
69,JH_JOB_LOG,JHPDL:JH_JOB_LOG,2022-09-26,JLR,J00.000.001,通用任职记录
70,JH_JOB_DOCTOR,JHPDL:JH_JOB_DOCTOR,2022-09-26,JDR,D00.000.001,临床医生就职记录
71,JH_JOB_NURSE,JHPDL:JH_JOB_NURSE,2022-09-26,JNR,N00.000.001,临床护士就职记录
72,JH_JOB_ADMIN,JHPDL:JH_JOB_ADMIN,2022-09-26,JAR,A00.000.001,职能岗位就职记录
73,JH_PLAN_OUT,JHPDL:JH_PLAN_OUT,2024-01-17,DOP,DP0.000.000.001,门诊出诊排班主表
74,JH_PO_DETAIL,JHPDL:JH_PO_DETAIL,2024-01-17,DOD,DD0.000.000.001,门诊出诊排班明细
75,JH_DRUG_INFO,JHPDL:JH_DRUG_INFO,2024-01-17,MDI,I00.000.001,药品耗材字典记录
76,JH_DRUG_BATCH_DTL,JHPDL:JH_DRUG_BATCH_DTL,2024-01-17,MDB,DC0.000.000.001,药品耗材进货批次记录
77,JH_DRUG_IN,JHPDL:JH_DRUG_IN,2024-01-17,MKI,DA0.000.000.001,药品耗材入库记录单主表
78,JH_DRUG_IN_DTL,JHPDL:JH_DRUG_IN_DTL,2024-01-17,MID,DB0.000.000.001,药品耗材入库明细
79,JH_DRUG_OUT,JHPDL:JH_DRUG_OUT,2024-01-17,MKO,DE0.000.000.001,药库调拨记录主表
80,JH_DRUG_OUT_DTL,JHPDL:JH_DRUG_OUT_DTL,2024-01-17,MOD,DF0.000.000.001,药品耗材库存调拨明细
81,JH_DRUG_RETURN,JHPDL:JH_DRUG_RETURN,2024-01-17,MRE,DW0.000.000.001,药库退货记录主表
82,JH_DRUG_RET_DTL,JHPDL:JH_DRUG_RET_DTL,2024-01-17,MRD,DZ0.000.000.001,药库退货明细
83,JH_DRUG_CHECK,JHPDL:JH_DRUG_CHECK,2024-01-17,MCM,DG0.000.000.001,药库盘点记录主表
84,JH_DRUG_CHECK_DTL,JHPDL:JH_DRUG_CHECK_DTL,2024-01-17,MCD,DH0.000.000.001,药库盘点明细
85,JH_DRUG_GIVE_OUT,JHPDL:JH_DRUG_GIVE_OUT,2024-01-17,MGO,DJ0.000.000.001,门诊发药主表
86,JH_DRUG_GI_O_DTL,JHPDL:JH_DRUG_GI_O_DTL,2024-01-17,MGD,DK0.000.000.001,门诊发药明细
87,JH_DRUG_GI_O_RET,JHPDL:JH_DRUG_GI_O_RET,2024-01-17,MGE,DN0.000.000.001,门诊退药主表
88,JH_DRUG_GI_O_RET_DTL,JHPDL:JH_DRUG_GI_O_RET_DTL,2024-01-17,MGF,DI0.000.000.001,门诊退药明细
89,JH_DRUG_GIVE_IN,JHPDL:JH_DRUG_GIVE_IN,2024-08-29,MGI,DL0.000.000.001,住院发药主表
90,JH_DRUG_GI_IN_DTL,JHPDL:JH_DRUG_GI_IN_DTL,2024-12-31,MGX,DM0.000.000.001,住院发药明细
91,JH_DRUG_GI_I_RET,JHPDL:JH_DRUG_GI_I_RET,2024-01-17,MGG,DQ0.000.000.001,住院退药主表
92,JH_DRUG_GI_I_RET_DTL,JHPDL:JH_DRUG_GI_I_RET_DTL,2024-01-17,MGH,DR0.000.000.001,住院退药明细
93,JH_DRUG_CURR_STOCK,JHPDL:JH_DRUG_CURR_STOCK,2024-01-17,MGK,DS0.000.000.001,当前库存明细
94,JH_DRUG_ADJ_PRICE,JHPDL:JH_DRUG_ADJ_PRICE,2024-01-17,MGL,DT0.000.000.001,调价记录表
95,JH_DRUG_PUR_ORDER,JHPDL:JH_DRUG_PUR_ORDER,2024-01-17,MGM,DU0.000.000.001,订单主表
96,JH_DRUG_PUR_ORD_DTL,JHPDL:JH_DRUG_PUR_ORD_DTL,2024-01-17,MGN,DV0.000.000.001,订单明细表
97,JH_DRUG_PUR_PLAN,JHPDL:JH_DRUG_PUR_PLAN,2024-01-17,MGP,DX0.000.000.001,采购计划主表
98,JH_DRUG_PUR_PL_DTL,JHPDL:JH_DRUG_PUR_PL_DTL,2024-01-17,MGQ,DY0.000.000.001,采购计划明细表
99,JH_FP_ICU,JHPDL:JH_FP_ICU,2024-01-23,IFI,FI0.000.000.001,首页重症监护记录（编目后）
100,JH_ICU_RECORD,JHPDL:JH_ICU_RECORD,2024-01-17,ICR,IR0.000.000.001,临床重症监护列表记录
101,JH_ICU_DEV_REC,JHPDL:JH_ICU_DEV_REC,2024-01-17,ICD,ID0.000.000.001,临床重症监护设备列表记录
102,JH_CU_APP_REC,JHPDL:JH_CU_APP_REC,2022-09-26,CHA,CA0.000.000.001,体检预约登记记录
103,JH_CU_ORDER,JHPDL:JH_CU_ORDER,2024-01-17,CHB,CB0.000.000.001,体检套餐记录
104,JH_CU_ORD_DTL,JHPDL:JH_CU_ORD_DTL,2024-01-17,CHC,CC0.000.000.001,体检套餐明细记录
105,JH_CU_DEPT_SUM,JHPDL:JH_CU_DEPT_SUM,2024-05-11,CHE,CE0.000.000.001,体检科室检查记录
106,JH_CU_DEPT_SIGNS,JHPDL:JH_CU_DEPT_SIGNS,2024-05-11,CHF,CF0.000.000.001,体检科室检查结果记录
107,JH_CU_DEPT_DIAGS,JHPDL:JH_CU_DEPT_DIAGS,2024-01-17,CHG,CG0.000.000.001,体检科室检查诊断建议记录
108,JH_PAT_VIS_MANAGER,JHPDL:JH_PAT_VIS_MANAGER,2024-01-17,PAR,PC0.000.000.001,就诊科室人员管理记录
109,JH_LAB_QC_VALUE,JHPDL:JH_LAB_QC_VALUE,2024-01-17,LAQ,LQ0.000.000.001,实验室质控结果表
110,JH_BLD_CROSS_MATCH,JHPDL:JH_BLD_CROSS_MATCH,2024-07-08,BLA,BF0.000.000.001,交叉配血记录
111,JH_BLD_ISSUING_RECORD,JHPDL:JH_BLD_ISSUING_RECORD,2024-07-08,BLB,BB0.000.000.001,发血记录
112,JH_BLD_REACTION,JHPDL:JH_BLD_REACTION,2024-01-17,BLC,BC0.000.000.001,输血不良反应
113,JH_BLD_BACK,JHPDL:JH_BLD_BACK,2024-01-17,BLD,BE0.000.000.001,血袋回收
114,JH_BLD_STOCK,JHPDL:JH_BLD_STOCK,2024-01-17,BLE,BD0.000.000.001,血液入出库记录
115,JH_IN_MRQC,JHPDL:JH_IN_MRQC,2024-01-17,IMA,ZB0.000.000.001,病历质控记录
116,JH_IN_MRQC_TRACE,JHPDL:JH_IN_MRQC_TRACE,2024-01-17,IMB,ZC0.000.000.001,病历质控跟踪记录
117,JH_CESAREAN_RECORD,JHPDL:JH_CESAREAN_RECORD,2024-01-17,OAA,PG0.000.000.001,剖宫产手术记录表
118,JH_CLINIC_PATH,JHPDL:JH_CLINIC_PATH,2024-01-17,IMC,ZH0.000.000.001,临床路径记录表
