索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_RHHV_CHINA_DOCTOR_RECORD,表全名,JHPDL:JH_RHHV_CHINA_DOCTOR_RECORD,,,,,,
,表说明,中医体质辨识登记表,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,VAL,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,VAL0001,String字符串（变长）,,CHINA_DOCTOR_RECORD_SN,主键,,64,,
,\x00\x02,VAL0002,String字符串（变长）,,HIS_KEY,业务主键,,200,,
,\x00\x03,VAL0003,String字符串（变长）,,PERSON_BASE_ID,个人基本档案号,,32,,
,\x00\x04,VAL0004,String字符串（变长）,,ARCHIVE_ID,档案号,,32,,
,\x00\x05,VAL0005,String字符串（变长）,,RECORD_ID,记录编号,,32,,
,\x00\x06,VAL0006,Date日期型（yyyy-mm-dd）（10个字节）,,VISIT_DATE,辨识日期,,,,
,\x00\x07,VAL0007,String字符串（变长）,,SC_DOCTOR,医生编码,,32,,
,\x00\x08,VAL0008,String字符串（变长）,,ST_DOCTOR,医生名称,,64,,
,\x00\x09,VAL0009,String字符串（变长）,,SC_ORG,管辖机构编码,,16,,
,\x00\x0A,VAL0010,String字符串（变长）,,ST_ORG,管辖机构名称,,128,,
,\x00\x0B,VAL0011,String字符串（变长）,,SC_REGION,网格地址编码,,25,,
,\x00\x0C,VAL0012,String字符串（变长）,,ST_REGION,网格地址名称,,128,,
,\x00\x0D,VAL0013,String字符串（变长）,,DISEASES_HISTORY,现病史,,10,,
,\x00\x0E,VAL0014,String字符串（变长）,,OTHER_INFO,其他,,512,,
,\x00\x0F,VAL0015,String字符串（变长）,,QUESTION_ONE,您精力充沛吗（指精神头足，乐于做事）,,32,,
,\x00\x10,VAL0016,String字符串（变长）,,QUESTION_TWO,容易疲乏吗（指体力如何，是否稍微活动一下或做一点家务劳动就感到累,,32,,
,\x00\x11,VAL0017,String字符串（变长）,,QUESTION_THREE,您容易气短，呼吸短促，接不上气吗,,32,,
,\x00\x12,VAL0018,String字符串（变长）,,QUESTION_FOUE,您说话声音低弱无力吗?（指说话没有力气）,,32,,
,\x00\x13,VAL0019,String字符串（变长）,,QUESTION_FIVE,您感到闷闷不乐、情绪低沉吗?（指心情不愉快，情绪低落）,,32,,
,\x00\x14,VAL0020,String字符串（变长）,,QUESTION_SIX,您容易精神紧张、焦虑不安吗?（指遇事是否心情紧张）,,32,,
,\x00\x15,VAL0021,String字符串（变长）,,QUESTION_SEVEN,您因为生活状态改变而感到孤独、失落吗,,32,,
,\x00\x16,VAL0022,String字符串（变长）,,QUESTION_EIGHT,您容易感到害怕或受到惊吓吗,,32,,
,\x00\x17,VAL0023,String字符串（变长）,,QUESTION_NINE,您感到身体超重不轻松吗?(感觉身体沉重)[BMI指数=体重（KG）/身高2（M）],,32,,
,\x00\x18,VAL0024,String字符串（变长）,,QUESTION_TEN,您眼睛干涩吗,,32,,
,\x00\x19,VAL0025,String字符串（变长）,,QUESTION_ELEVEN,您手脚发凉吗?（不包含因周围温度低或穿的少导致的手脚发冷）,,32,,
,\x00\x1A,VAL0026,String字符串（变长）,,QUESTION_TWELVE,您胃脘部、背部或腰膝部怕冷吗？（指上腹部、背部、腰部或膝关节等，有一处或多处怕冷）,,32,,
,\x00\x1B,VAL0027,String字符串（变长）,,QUESTION_THIRTEEN,您比一般人耐受不了寒冷吗？（指比别人容易害怕冬天或是夏天的冷空调、电扇等）,,32,,
,\x00\x1C,VAL0028,String字符串（变长）,,QUESTION_FOURTEEN,您容易患感冒吗?（指每年感冒的次数）,,32,,
,\x00\x1D,VAL0029,String字符串（变长）,,QUESTION_FIFTEEN,您没有感冒时也会鼻塞、流鼻涕吗,,32,,
,\x00\x1E,VAL0030,String字符串（变长）,,QUESTION_SIXTEEN,您有口粘口腻，或睡眠打鼾吗,,32,,
,\x00\x1F,VAL0031,String字符串（变长）,,QUESTION_SEVENTEEN,您容易过敏(对药物、食物、气味、花粉或在季节交替、气候变化时)吗,,32,,
,\x00\x20,VAL0032,String字符串（变长）,,QUESTION_EIGHTEEN,您的皮肤容易起荨麻疹吗? (包括风团、风疹块、风疙瘩),,32,,
,\x00\x21,VAL0033,String字符串（变长）,,QUESTION_NINETEEN,您的皮肤在不知不觉中会出现青紫瘀斑、皮下出血吗?（指皮肤在没有外伤的情况下出现青一块紫一块的情况）,,32,,
,\x00\x22,VAL0034,String字符串（变长）,,QUESTION_TWENTY,您的皮肤一抓就红，并出现抓痕吗?（指被指甲或钝物划过后皮肤的反应）,,32,,
,\x00\x23,VAL0035,String字符串（变长）,,QUESTION_TWENTY_ONE,您皮肤或口唇干吗?,,32,,
,\x00\x24,VAL0036,String字符串（变长）,,QUESTION_TWENTY_TWO,您有肢体麻木或固定部位疼痛的感觉吗,,32,,
,\x00\x25,VAL0037,String字符串（变长）,,QUESTION_TWENTY_THREE,您面部或鼻部有油腻感或者油亮发光吗?（指脸上或鼻子）,,32,,
,\x00\x26,VAL0038,String字符串（变长）,,QUESTION_TWENTY_FOUR,您面色或目眶晦黯，或出现褐色斑块/斑点吗,,32,,
,\x00\x27,VAL0039,String字符串（变长）,,QUESTION_TWENTY_FIVE,您有皮肤湿疹、疮疖吗,,32,,
,\x00\x28,VAL0040,String字符串（变长）,,QUESTION_TWENTY_SIX,您感到口干咽燥、总想喝水吗,,32,,
,\x00\x29,VAL0041,String字符串（变长）,,QUESTION_TWENTY_SEVEN,您感到口苦或嘴里有异味吗?（指口苦或口臭）,,32,,
,\x00\x2A,VAL0042,String字符串（变长）,,QUESTION_TWENTY_EIGHT,您腹部肥大吗?（指腹部脂肪肥厚）,,32,,
,\x00\x2B,VAL0043,String字符串（变长）,,QUESTION_TWENTY_NINE,您吃(喝)凉的东西会感到不舒服或者怕吃(喝)凉的东西吗？（指不喜欢吃凉的食物，或吃了凉的食物后会不舒服）,,32,,
,\x00\x2C,VAL0044,String字符串（变长）,,QUESTION_THIRTY,您有大便黏滞不爽、解不尽的感觉吗?(大便容易粘在马桶或便坑壁上),,32,,
,\x00\x2D,VAL0045,String字符串（变长）,,QUESTION_THIRTY_ONE,您容易大便干燥吗,,32,,
,\x00\x2E,VAL0046,String字符串（变长）,,QUESTION_THIRTY_TWO,您舌苔厚腻或有舌苔厚厚的感觉吗?（如果自我感觉不清楚可由调查员观察后填写）,,32,,
,\x00\x2F,VAL0047,String字符串（变长）,,QUESTION_THIRTY_THREE,您舌下静脉瘀紫或增粗吗？（可由调查员辅助观察后填写）,,32,,
,\x00\x30,VAL0048,String字符串（变长）,,SC_FLAG,更新体检记录标志,,8,,
,\x00\x31,VAL0049,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,OP_DATE,操作日期,,,,
,\x00\x32,VAL0050,String字符串（变长）,,SC_MODIFY_BY,最后修改人编码,,64,,
,\x00\x33,VAL0051,String字符串（变长）,,ST_MODIFY_BY,最后修改人名称,,128,,
,\x00\x34,VAL0052,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,最后更新时间,,,,
,\x00\x35,VAL0053,String字符串（变长）,,SC_MODIFY_ORG,最后修改机构编码,,64,,
,\x00\x36,VAL0054,String字符串（变长）,,ST_MODIFY_ORG,最后修改机构名称,,128,,
,\x00\x37,VAL0055,String字符串（变长）,,HIS_KEY_SRC,业务主键构成,,256,,
,\x00\x38,VAL0056,String字符串（变长）,,SC_ENTRY_ORG,录入单位编码,,64,,
,\x00\x39,VAL0057,String字符串（变长）,,ST_ENTRY_ORG,录入单位名称,,256,,
,\x00\x3A,VAL0058,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,ENTRY_DATE,录入日期,,,,
,\x00\x3B,VAL0059,String字符串（变长）,,SC_ENTRY_STAFF,录入员工编码,,64,,
,\x00\x3C,VAL0060,String字符串（变长）,,ST_ENTRY_STAFF,录入员工名称,,128,,
